Payment Plan Name,Deposit to Price Ratio,Daily rate ,LLR
1Name,0.18,1880,0.17
2Name,0.18,1950,0.15
3Name,0.18,1970,0.17
4Name,0.2,1720,0.17
5Name,0.19,1820,0.17
6Name,0.2,1770,0.17
7Name,0.2,1600,0.17
8Name,0.2,1700,0.17
9Name,0.2,1650,0.17
10Name,0.18,2280,0.24
11Name,0.18,2280,0.25
12Name,0.18,2380,0.25
13Name,0.19,2550,0.34
14Name,0.19,2550,0.16
15Name,0.19,2640,0.12
16Name,0.18,2300,0.17
17Name,0.18,2300,0.18
18Name,0.18,2400,0.18
19Name,0.19,2800,0.08
20Name,0.18,2850,0.25
21Name,0.19,2900,0.08
22Name,0.19,2600,0.08
23Name,0.19,2700,0.08
27Name,0.18,3150,0.17
28Name,0.21,3000,0.17
29Name,0.2,3130,0.18
30Name,0.21,2900,0.17
31Name,0.21,3000,0.18
32Name,0.21,2950,0.17
33Name,0.21,2800,0.17
34Name,0.21,2900,0.18
35Name,0.21,2850,0.17
39Name,0.17,3300,0.26
40Name,0.17,3300,0.26
41Name,0.17,3450,0.12
42Name,0.19,4000,0.1
43Name,0.19,4000,0.2
44Name,0.19,4100,0.1
45Name,0.18,8100,0.31
46Name,0.18,8100,0.31
47Name,0.18,8250,0.31
48Name,0.19,9450,0.2
49Name,0.19,9450,0.2
50Name,0.19,9650,0.2
51Name,0.19,1750,0.2
52Name,0.18,1870,0.2
53Name,0.19,1800,0.18
54Name,0.19,1900,0.2
57Name,0.2,1980,0.18
58Name,0.2,2080,0.25
59Name,0.19,2100,0.2
60Name,0.19,2200,0.14
61Name,0.2,1830,0.17
62Name,0.21,1900,0.2
63Name,0.21,2100,0.17
64Name,0.21,2200,0.2
65Name,0.21,2150,0.17
66Name,0.21,2050,0.17
67Name,0.21,2150,0.2
68Name,0.21,2100,0.17
69Name,0.18,2900,0.23
70Name,0.18,3020,0.3
71Name,0.2,2600,0.23
72Name,0.2,2720,0.3
73Name,0.21,2600,0.23
74Name,0.2,2550,0.23
75Name,0.2,2670,0.3
76Name,0.21,2550,0.23
77Name,0.19,5800,0.12
78Name,0.19,6000,0.23
81Name,,2100,0.17
82Name,0.16,2100,0.07
83Name,0.17,2200,0.17
84Name,0.2,1700,0.17
85Name,0.18,1800,0.17
90Name,0.06,2000,0.19
91Name,0.05,2000,0.19
92Name,0.05,2600,0.06
93Name,0.05,2600,0.07
94Name,0.11,2700,0.12
95Name,0.1,2900,0.08
96Name,0.1,2900,0.25
97Name,0.04,3000,0.08
98Name,0.04,3200,0.17
99Name,0.08,3300,0.18
100Name,0.08,3100,0.17
101Name,0.08,3230,0.18
102Name,0.08,3170,0.17
103Name,0.08,2450,0.17
104Name,0.08,2550,0.18
105Name,0.08,2500,0.17
109Name,0.08,3200,0.14
110Name,0.05,3200,0.14
111Name,0.05,3300,0.12
112Name,0.05,2800,0.14
113Name,0.1,2800,0.14
114Name,0.11,2900,0.08
115Name,0.11,3700,0.1
116Name,0.09,3700,0.1
117Name,0.09,3800,0.1
118Name,0.09,3300,0.1
119Name,0.14,3300,0.1
120Name,0.14,3400,0.1
121Name,0.14,2100,0.21
122Name,0.09,2000,0.14
123Name,0.09,2300,0.18
124Name,0.09,2400,0.25
125Name,0.14,2800,0.38
126Name,0.14,2700,0.17
127Name,0.14,2650,0.17
128Name,0.07,2750,0.38
129Name,0.06,2700,0.17
130Name,0.08,2600,0.17
131Name,0.08,2730,0.38
132Name,0.1,2670,0.17
133Name,0.08,2600,0.15
134Name,0.05,2300,0.11
135Name,0.06,2250,0.17
136Name,0.06,2350,0.2
137Name,0.1,2300,0.17
138Name,0.1,2200,0.17
139Name,0.1,2300,0.2
140Name,0.06,2250,0.17
