Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Deposit to Price Ratio
MK +Phone Nokia C22 2/64 V1 CG,65,1199,385,26224,0.134941139,0.045721477
MK +Phone Nokia C22 2/64 v1 GT,60,2499,400,26499,0.236011829,0.094305445
MK +Phone Nokia C22 2/64 v1 NEW GT 60% Pilot,60,2499,400,26499,0.195830883,0.094305445
MK +Phone Nokia C22 2/64 v2 CG,65,1199,385,26224,0.159148655,0.045721477
MK +Phone Nokia C22 2/64 v2 CG 75% Pilot,65,1199,385,26224,0.179316255,0.045721477
MK +Phone Nokia C22 2/64 v2 GT,60,2499,400,26499,0.170817913,0.094305445
MK +Phone Nokia C31 4/64 v1,65,1999,420,29299,0.197137849,0.068227585
MK +Phone Nokia C31 4/64 v1 CG,80,1399,390,32599,0.220847815,0.042915427
MK +Phone Nokia C31 4/64 v1 GT,75,2999,395,32624,0.14789459,0.091926189
MK +Phone Nokia C31 4/64 v2 NEW GT 60% Pilot,75,2999,395,32624,0.181477226,0.091926189
MK +Phone Nokia C31 4/64 v3 CG,80,1399,390,32599,0.171807578,0.042915427
MK +Phone Nokia C31 4/64 v3 GT,75,2999,395,32624,0.198227883,0.091926189
MK +Phone Nokia C31 4/64 v4 CG 75% Pilot,80,1399,390,32599,0.193087005,0.042915427
MK +Phone Nokia C31 4/64 v6 DS,85,1999,400,35999,0.321182589,0.05552932
MK +Phone Nokia C31 4/64 v7,85,1899,400,35899,0.359372224,0.052898409
MK +Phone Nokia G21 4/64 CSTR 1,85,1799,410,36649,0.547418041,0.049087288
MK +Phone Nokia G21 4/64 DS v1 CG,90,1999,410,38899,0.184026896,0.051389496
MK +Phone Nokia G21 4/64 DS v1 GT,90,3999,390,39099,0.205629411,0.102278831
MK +Phone Nokia G21 4/64 DS v2 NEW GT 60% Pilot,90,3999,390,39099,0.112394138,0.102278831
MK +Phone Nokia G21 4/64 v3,70,1999,365,27549,0.062087564,0.072561617
MK +Phone Nokia T10 Tablet 4/64 CG v1,100,2899,385,41399,0.230984813,0.070025846
MK +Phone Nokia T10 Tablet 4/64 CG v2,100,2199,385,40699,0.233865748,0.054030812
MK +Phone Nokia T10 Tablet 4/64 GT v1,95,4699,400,42699,0.08472815,0.110049416
MK +Phone Samsung A03 Core 2/32  DS v16,55,1499,400,23499,0.129715728,0.063789949
MK +Phone Samsung A03 Core 2/32 DS NEW GT 60% Pilot,65,2499,370,26549,0.178845979,0.094127839
MK +Phone Samsung A03 Core 2/32 DS NEW v2 GT 60% Pilot,70,2599,385,29549,0.256740784,0.087955599
MK +Phone Samsung A03 Core 2/32 DS v1 CG,65,1199,390,26549,0.16425653,0.045161776
MK +Phone Samsung A03 Core 2/32 DS v1 GT,65,2499,370,26549,0.179688452,0.094127839
MK +Phone Samsung A03 Core 2/32 DS v2 CG,70,1299,400,29299,0.188254259,0.044335984
MK +Phone Samsung A03 Core 2/32 DS v2 GT,70,2599,385,29549,0.221039338,0.087955599
MK +Phone Samsung A03 Core 2/32 DS v3 CG,70,1299,400,29299,0.162090408,0.044335984
MK +Phone Samsung A03 Core 2/32 DS v3 CG 75% Pilot,70,1299,400,29299,0.173860616,0.044335984
MK +Phone Samsung A03 Core 2/32 DS v3 GT,70,2599,380,29199,0.219970443,0.089009898
MK +Phone Samsung A03 Core 2/32 DS v3 GT 60% Pilot,70,2599,380,29199,0.205758374,0.089009898
MK +Phone Samsung A03 Core 2/32 v22 DS,70,1499,410,30199,0.091972092,0.049637405
MK +Phone Samsung A03 Core 2/32 v23 DS,70,1499,390,28799,0.199791077,0.052050418
MK +Phone Samsung A04S 4/64 CSTR1 v1,80,2999,400,34999,0.191507803,0.085688163
MK +Phone Samsung A04S 4/64 CSTR1 v3 DS,90,2499,410,39399,0.091197911,0.063428006
MK +Phone Samsung A04S 4/64 DS v4 CG,80,2299,410,35099,0.09687453,0.065500442
MK +Phone Samsung A04S 4/64 DS v7 GT,100,3799,390,42799,0.218247834,0.088763756
MK +Phone Samsung A04S 4/64 DS v8 CG,100,2799,400,42799,0.160932473,0.065398724
MK +Phone Samsung A04S 4/64 DS v9 CG 75% Pilot,100,2799,400,42799,0.158960288,0.065398724
MK +Phone Samsung A14 4/128 v2 CG,120,3799,410,52999,0.156047381,0.071680598
MK +Phone Samsung A14 4/128 v2 GT,120,4999,400,52999,0.168871225,0.094322534
