,Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales
1,M-KOPA Phone Nokia S-Sim 2.2 v13,50,"3,999",250,"16,499",0.04477544093581428,1.000
2,M-KOPA Phone Nokia D-Sim 2.2 v12,50,"3,999",250,"16,499",0.14808473240802472,1.000
3,M-KOPA Phone Nokia 2.2 v6,60,"2,999",330,"22,799",0.2673985701127242,0.927
4,"M-KOPA 6000 (32"") v3 LD",150,"7,999",560,"91,999",0.3407802861297853,0.879
5,"M-KOPA 6000 (32"") v10 LD LR",135,"7,999",660,"97,099",0.5460806524862725,0.863
6,"M-KOPA 600 (32""W-Grid TV) v3",125,"6,999",500,"69,499",0.41354652291038513,0.802
7,"M-KOPA 600 (32""S-Grid TV) v2 ",100,"5,999",450,"50,999",0.15643212386728572,0.950
8,"M-KOPA 600 (24"") v2",100,"5,999",590,"64,999",0.30648332519658106,0.690
9,M-KOPA 4(3B) v2 ,50,"2,999",400,"22,999",0,0.333
10,MK Motorbike Honda ACE 110 LD v7,385,"14,999",480,"199,799",0.5235396770281703,0.634
11,MK Motorbike Honda ACE 110 LD v3,385,"14,999",480,"199,799",0.4463268238503807,0.775
12,MK Motorbike Honda ACE 110 LD 12M v4,485,"14,999",365,"192,024",0.4511745526521845,0.836
13,MK Motorbike Honda ACE 110 HD 18M v9,295,"24,999",550,"187,249",0.14472972692875413,1.000
14,MK Motorbike Honda ACE 110 HD 18M v5,295,"24,999",550,"187,249",0.2633690272790325,0.888
15,MK Motorbike Honda ACE 110 Grade D v1 Cash,1,"20,087",1,"20,088",0.000024890481879729994,0.255
16,MK Motorbike Honda ACE 110 16M v13,385,"14,999",480,"199,799",0.2795128281068222,0.831
17,MK Motorbike Honda ACE 110 12M v12,465,"14,999",365,"184,724",0.20458055532225175,0.894
18,MK Phone Tecno Spark 6 GO 2/32 v2,45,"2,999",365,"19,424",0.025634243854591173,0.971
19,MK Phone ST pilot Samsung A23 4/128 v1,115,"9,499",365,"51,474",0.06487060270058496,0.980
20,MK Phone Samsung Galaxy A01 v2,50,"3,999",365,"22,249",0,1.000
21,MK Phone Samsung A53 6/128 v4 HRA,170,"13,999",365,"76,049",0.024541715665699185,0.939
22,MK Phone Samsung A53 6/128 v3,170,"13,999",365,"76,049",0.0835942175317806,0.956
23,MK Phone Samsung A53 6/128 v2,170,"13,999",365,"76,049",0.08694561717210884,0.966
24,MK Phone Samsung A33 6/128 v9,190,"15,999",273,"67,869",0.017480844654431425,1.000
25,MK Phone Samsung A33 6/128 v8,170,"10,999",365,"73,049",0.11651942544904488,0.927
26,MK Phone Samsung A33 6/128 v6,170,"10,999",365,"73,049",0.1245241061177488,0.901
27,MK Phone Samsung A33 6/128 v4,130,"9,499",365,"56,949",0.06124056451769947,0.972
28,MK Phone Samsung A24 4/128 v6,150,"7,699",365,"62,449",0.11897375047147428,0.997
29,MK Phone Samsung A24 4/128 v5 HRA,150,"7,999",365,"62,749",0.09401600362560902,1.000
30,MK Phone Samsung A24 4/128 v2 HRA,135,"7,299",365,"56,574",0.1391052656175788,0.957
