Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales,Deposit to Price Ratio
M-KOPA Phone Nokia S-Sim 2.2 v13,50,"3,999",250,"16,499",0.044775441,1,0.242378326
M-KOPA Phone Nokia D-Sim 2.2 v12,50,"3,999",250,"16,499",0.148084732,1,0.242378326
M-KOPA Phone Nokia 2.2 v6,60,"2,999",330,"22,799",0.26739857,0.927,0.131540857
"M-KOPA 6000 (32"") v3 LD",150,"7,999",560,"91,999",0.340780286,0.879,0.086946597
"M-KOPA 6000 (32"") v10 LD LR",135,"7,999",660,"97,099",0.546080652,0.863,0.082379839
"M-KOPA 600 (32""W-Grid TV) v3",125,"6,999",500,"69,499",0.413546523,0.802,0.100706485
"M-KOPA 600 (32""S-Grid TV) v2 ",100,"5,999",450,"50,999",0.156432124,0.95,0.117629757
"M-KOPA 600 (24"") v2",100,"5,999",590,"64,999",0.306483325,0.69,0.092293728
M-KOPA 4(3B) v2 ,50,"2,999",400,"22,999",0,0.333,0.130396974
MK Motorbike Honda ACE 110 LD v7,385,"14,999",480,"199,799",0.523539677,0.634,0.075070446
MK Motorbike Honda ACE 110 LD v3,385,"14,999",480,"199,799",0.446326824,0.775,0.075070446
MK Motorbike Honda ACE 110 LD 12M v4,485,"14,999",365,"192,024",0.451174553,0.836,0.078110028
MK Motorbike Honda ACE 110 HD 18M v9,295,"24,999",550,"187,249",0.144729727,1,0.133506721
MK Motorbike Honda ACE 110 HD 18M v5,295,"24,999",550,"187,249",0.263369027,0.888,0.133506721
MK Motorbike Honda ACE 110 Grade D v1 Cash,1,"20,087",1,"20,088",2.49E-05,0.255,0.999950219
MK Motorbike Honda ACE 110 16M v13,385,"14,999",480,"199,799",0.279512828,0.831,0.075070446
MK Motorbike Honda ACE 110 12M v12,465,"14,999",365,"184,724",0.204580555,0.894,0.081196813
MK Phone Tecno Spark 6 GO 2/32 v2,45,"2,999",365,"19,424",0.025634244,0.971,0.154396623
MK Phone ST pilot Samsung A23 4/128 v1,115,"9,499",365,"51,474",0.064870603,0.98,0.184539768
