Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales,Deposit to Price Ratio
MK +Phone Nokia T20 Tablet 4/64 HDR v7,110,"1,999",450,"51,499",34.58%,,0.038816288
MK +Phone Nokia G21 4/64 CSTR 1 v3,80,"1,599",400,"33,599",18.28%,,0.047590702
MK Phone Nokia C31 4/64 v3 HRA,90,"4,099",365,"36,949",26.49%,,0.110936697
MK Phone Nokia G21 4/64 HMD v20 HRA,95,"4,899",365,"39,574",33.64%,,0.1237934
MK +Phone Nokia G21 4/64 CSTR 1,85,"1,799",410,"36,649",17.38%,,0.049087288
MK Phone Nokia C31 4/64 v5 HRA,80,"3,499",365,"32,699",23.23%,,0.10700633
MK +Phone Samsung A03 Core 2/32 v22 DS,70,"1,499",410,"30,199",17.61%,,0.049637405
MK Phone Nokia G21 4/64 v18 HRA,95,"4,899",365,"39,574",26.38%,,0.1237934
MK Phone Samsung A03 Core 2/32 v20 DS,70,"3,499",365,"29,049",16.65%,,0.120451651
MK Phone Samsung A03 Core 2/32 v17,55,"3,499",365,"23,574",13.05%,,0.148426232
MK Phone Samsung A13 4/64 v14 HRA,90,"5,599",365,"38,449",18.07%,,0.145621473
MK +Phone Samsung A04S 4/64 DS v1 GT,80,"3,999",390,"35,199",17.13%,,0.113611182
MK Phone Samsung A03 3/32 v13,60,"3,999",365,"25,899",13.61%,,0.154407506
MK Phone Nokia G21 4/64 HMD v20,95,"4,899",365,"39,574",25.10%,,0.1237934
MK +Phone Nokia C31 4/64 v1 GT,75,"2,999",395,"32,624",18.86%,,0.091926189
MK Phone Samsung A03 Core 2/32 v24 DS HRA,65,"2,999",365,"26,724",17.26%,,0.112221224
MK Phone Nokia C31 4/64 v5,80,"3,499",365,"32,699",17.86%,,0.10700633
MK Phone Nokia G21 4/64 v20,95,"4,899",365,"39,574",18.72%,,0.1237934
MK +Phone Nokia C31 4/64 v6 DS,85,"1,999",400,"35,999",17.72%,,0.05552932
MK Phone Samsung A04e 3/64 v1 ST Pilot,70,"4,199",365,"29,749",18.35%,,0.141147602
MK +Phone Samsung A03 Core 2/32 DS v1 GT,65,"2,499",370,"26,549",13.32%,,0.094127839
MK Phone Nokia G21 4/64 Insurance Pilot v1,95,"4,899",365,"39,574",24.97%,,0.1237934
MK +Phone Nokia C31 4/64 v1 CG,80,"1,399",390,"32,599",17.16%,,0.042915427
MK +Phone Nokia G21 4/64 v3,70,"1,999",365,"27,549",10.72%,,0.072561617
MK +Phone Nokia G21 4/64 DS v1 CG,90,"1,999",410,"38,899",18.01%,,0.051389496
MK Phone Samsung A03 Core 2/32 v21 DS HRA,75,"3,499",365,"30,874",20.10%,,0.113331606
MK Phone Nokia C31 4/64 Insurance Pilot v1,80,"3,499",365,"32,699",14.60%,,0.10700633
MK +Phone Nokia G21 4/64 DS v1 GT,90,"3,999",390,"39,099",26.21%,,0.102278831
MK Phone Samsung A03 Core 2/32 v25 DS,65,"2,999",365,"26,724",15.14%,,0.112221224
MK Phone Samsung A04S 4/64 DS v6 HRA,85,"4,199",365,"35,224",12.90%,,0.119208494
MK Phone Samsung A03 Core 2/32 Insurance Pilot v1,65,"2,999",365,"26,724",18.81%,,0.112221224
MK +Phone Samsung A03 Core 2/32 DS v1 CG,65,"1,199",390,"26,549",14.90%,,0.045161776
MK Phone Samsung A23 4/64 v16 DS HRA,100,"6,999",365,"43,499",9.98%,,0.160900251
MK Phone Samsung A04S 4/128 ST Pilot v2,100,"5,299",365,"41,799",11.67%,,0.126773368
MK Phone Samsung A03 Core 2/32 v18 ST Pilot,65,"2,999",365,"26,724",18.20%,,0.112221224
MK Phone Samsung A04S 4/64 DS v5,85,"4,199",365,"35,224",13.34%,,0.119208494
MK Phone Samsung A13 4/64 v13,90,"5,599",365,"38,449",14.77%,,0.145621473
MK +Phone Samsung A03 Core 2/32 v23 DS,70,"1,499",390,"28,799",17.80%,,0.052050418
MK Phone Samsung A04S 4/64  Insurance Pilot v1,85,"4,199",365,"35,224",16.55%,,0.119208494
MK Phone Nokia C31 4/64 v4 Demo,55,"2,449",365,"22,524",15.29%,,0.108728467
MK Phone Nokia C31 4/64 v3 Staff,55,"2,499",365,"22,574",12.28%,,0.110702578
MK +Phone Samsung A04S 4/64 DS v4 CG,80,"2,299",410,"35,099",12.04%,,0.065500442
MK +Phone Nokia C31 4/64 v7,85,"1,899",400,"35,899",18.01%,,0.052898409
MK Phone Samsung A23 4/64 v15 DS,100,"6,999",365,"43,499",9.58%,,0.160900251
MK +Phone Nokia G21 4/64  CSTR1,90,"2,499",400,"38,499",15.31%,,0.064910777
MK Phone Nokia C31 4/64 v4 HRA,85,"3,999",365,"35,024",23.36%,,0.114178849
MK +Phone Samsung A03 Core 2/32 v17 DS,55,"1,799",440,"25,999",14.20%,,0.069194969
MK Phone Nokia G21 4/64 Staff v9,70,"2,699",365,"28,249",8.69%,,0.095543205
MK +Phone Nokia C31 4/64 v1,65,"1,999",420,"29,299",15.46%,,0.068227585
MK +Phone Nokia G21 4/64 v4,65,"1,999",400,"27,999",11.76%,,0.071395407
MK Phone Samsung A23 4/64 v13,100,"6,999",365,"43,499",9.58%,,0.160900251
MK Phone  ST Pilot Samsung A04 3/32 v2,65,"4,399",365,"28,124",10.75%,,0.15641445
MK Phone Nokia G50 4/128 v18,100,"5,999",365,"42,499",11.13%,,0.141156263
MK +Phone Samsung A03 Core 2/32  DS v16,55,"1,499",400,"23,499",13.12%,,0.063789949
MK Phone Nokia G22 4/128 v1 F&F,135,"8,699",365,"57,974",12.22%,,0.150050022
MK Phone Samsung A04S 4/64 DS v3,95,"4,899",365,"39,574",13.44%,,0.1237934
MK Phone Samsung A23 4/128  ST Pilot v2,120,"9,699",365,"53,499",10.75%,,0.181293108
MK Phone Samsung A53 6/128 Staff v5,160,"10,999",365,"69,399",4.00%,,0.158489315
MK +Phone Nokia G21 4/64 CSTR 1 v20 DS,95,"2,499",390,"39,549",17.47%,,0.063187438
MK Phone Samsung A03 Core 2/32 v2,50,"2,499",365,"20,749",14.84%,,0.120439539
MK +Phone Samsung A10S v2,60,0,400,"24,000",100.64%,,0
MK Phone Nokia Test v1,1,0,365,365,98.35%,,0
MK +Phone Samsung A10S v4,60,0,400,"24,000",95.91%,,0
MK Phone Tecno Test v1,1,0,365,365,91.93%,,0
MK Phone Nokia C10 1/32 v1 F&F,40,"2,999",365,"17,599",82.28%,,0.17040741
MK Phone Nokia C1 2nd Edition v1 F&F,35,"2,499",365,"15,274",80.13%,,0.163611366
MK +Phone Samsung A21 v9,80,"2,199",420,"35,799",73.76%,,0.061426297
MK Phone Nokia G21 4/64 HMD v17 HRA,80,"5,599",365,"34,799",72.45%,,0.160895428
MK Phone Nokia C20 2/32 Staff v6,45,"1,499",365,"17,924",67.70%,,0.083630886
MK Phone Samsung A10S v6 DEMO,50,"1,999",320,"17,999",66.11%,,0.111061726
MK Phone Nokia C31 4/64 v2 Sailfish F&F,85,"3,999",365,"35,024",51.60%,,0.114178849
MK Phone Samsung A11 v1,60,"4,999",365,"26,899",50.52%,,0.18584334
MK Phone Nokia T20 Tablet 4/64 F&F v1,110,"8,999",365,"49,149",49.98%,,0.183096299
MK +Phone Samsung A22 4/64 v9,80,"5,999",380,"36,399",45.26%,,0.16481222
MK Phone Samsung A03 Micro Biz v4,30,0,600,"18,000",43.12%,,0
MK Phone Nokia C21 2/32 F&F v1,50,"3,799",365,"22,049",41.36%,,0.172298063
