Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales,Deposit to Price Ratio
MK +Phone Nokia T20 Tablet 4/64 HDR v7,110,1999,450,51499,0.3458,,0.038816288
MK +Phone Nokia G21 4/64 CSTR 1 v3,80,1599,400,33599,0.1828,,0.047590702
MK Phone Nokia C31 4/64 v3 HRA,90,4099,365,36949,0.2649,,0.110936697
MK Phone Nokia G21 4/64 HMD v20 HRA,95,4899,365,39574,0.3364,,0.1237934
MK +Phone Nokia G21 4/64 CSTR 1,85,1799,410,36649,0.1738,,0.049087288
MK Phone Nokia C31 4/64 v5 HRA,80,3499,365,32699,0.2323,,0.10700633
MK +Phone Samsung A03 Core 2/32 v22 DS,70,1499,410,30199,0.1761,,0.049637405
MK Phone Nokia G21 4/64 v18 HRA,95,4899,365,39574,0.2638,,0.1237934
MK Phone Samsung A03 Core 2/32 v20 DS,70,3499,365,29049,0.1665,,0.120451651
MK Phone Samsung A03 Core 2/32 v17,55,3499,365,23574,0.1305,,0.148426232
MK Phone Samsung A13 4/64 v14 HRA,90,5599,365,38449,0.1807,,0.145621473
MK +Phone Samsung A04S 4/64 DS v1 GT,80,3999,390,35199,0.1713,,0.113611182
MK Phone Samsung A03 3/32 v13,60,3999,365,25899,0.1361,,0.154407506
MK Phone Nokia G21 4/64 HMD v20,95,4899,365,39574,0.251,,0.1237934
MK +Phone Nokia C31 4/64 v1 GT,75,2999,395,32624,0.1886,,0.091926189
MK Phone Samsung A03 Core 2/32 v24 DS HRA,65,2999,365,26724,0.1726,,0.112221224
MK Phone Nokia C31 4/64 v5,80,3499,365,32699,0.1786,,0.10700633
MK Phone Nokia G21 4/64 v20,95,4899,365,39574,0.1872,,0.1237934
MK +Phone Nokia C31 4/64 v6 DS,85,1999,400,35999,0.1772,,0.05552932
MK Phone Samsung A04e 3/64 v1 ST Pilot,70,4199,365,29749,0.1835,,0.141147602
MK +Phone Samsung A03 Core 2/32 DS v1 GT,65,2499,370,26549,0.1332,,0.094127839
MK Phone Nokia G21 4/64 Insurance Pilot v1,95,4899,365,39574,0.2497,,0.1237934
MK +Phone Nokia C31 4/64 v1 CG,80,1399,390,32599,0.1716,,0.042915427
MK +Phone Nokia G21 4/64 v3,70,1999,365,27549,0.1072,,0.072561617
MK +Phone Nokia G21 4/64 DS v1 CG,90,1999,410,38899,0.1801,,0.051389496
MK Phone Samsung A03 Core 2/32 v21 DS HRA,75,3499,365,30874,0.201,,0.113331606
MK Phone Nokia C31 4/64 Insurance Pilot v1,80,3499,365,32699,0.146,,0.10700633
MK +Phone Nokia G21 4/64 DS v1 GT,90,3999,390,39099,0.2621,,0.102278831
MK Phone Samsung A03 Core 2/32 v25 DS,65,2999,365,26724,0.1514,,0.112221224
MK Phone Samsung A04S 4/64 DS v6 HRA,85,4199,365,35224,0.129,,0.119208494
MK Phone Samsung A03 Core 2/32 Insurance Pilot v1,65,2999,365,26724,0.1881,,0.112221224
MK +Phone Samsung A03 Core 2/32 DS v1 CG,65,1199,390,26549,0.149,,0.045161776
MK Phone Samsung A23 4/64 v16 DS HRA,100,6999,365,43499,0.0998,,0.160900251
MK Phone Samsung A04S 4/128 ST Pilot v2,100,5299,365,41799,0.1167,,0.126773368
MK Phone Samsung A03 Core 2/32 v18 ST Pilot,65,2999,365,26724,0.182,,0.112221224
MK Phone Samsung A04S 4/64 DS v5,85,4199,365,35224,0.1334,,0.119208494
MK Phone Samsung A13 4/64 v13,90,5599,365,38449,0.1477,,0.145621473
MK +Phone Samsung A03 Core 2/32 v23 DS,70,1499,390,28799,0.178,,0.052050418
MK Phone Samsung A04S 4/64  Insurance Pilot v1,85,4199,365,35224,0.1655,,0.119208494
MK Phone Nokia C31 4/64 v4 Demo,55,2449,365,22524,0.1529,,0.108728467
MK Phone Nokia C31 4/64 v3 Staff,55,2499,365,22574,0.1228,,0.110702578
MK +Phone Samsung A04S 4/64 DS v4 CG,80,2299,410,35099,0.1204,,0.065500442
MK +Phone Nokia C31 4/64 v7,85,1899,400,35899,0.1801,,0.052898409
MK Phone Samsung A23 4/64 v15 DS,100,6999,365,43499,0.0958,,0.160900251
MK +Phone Nokia G21 4/64  CSTR1,90,2499,400,38499,0.1531,,0.064910777
MK Phone Nokia C31 4/64 v4 HRA,85,3999,365,35024,0.2336,,0.114178849
MK +Phone Samsung A03 Core 2/32 v17 DS,55,1799,440,25999,0.142,,0.069194969
MK Phone Nokia G21 4/64 Staff v9,70,2699,365,28249,0.0869,,0.095543205
MK +Phone Nokia C31 4/64 v1,65,1999,420,29299,0.1546,,0.068227585
MK +Phone Nokia G21 4/64 v4,65,1999,400,27999,0.1176,,0.071395407
MK Phone Samsung A23 4/64 v13,100,6999,365,43499,0.0958,,0.160900251
MK Phone  ST Pilot Samsung A04 3/32 v2,65,4399,365,28124,0.1075,,0.15641445
MK Phone Nokia G50 4/128 v18,100,5999,365,42499,0.1113,,0.141156263
MK +Phone Samsung A03 Core 2/32  DS v16,55,1499,400,23499,0.1312,,0.063789949
MK Phone Nokia G22 4/128 v1 F&F,135,8699,365,57974,0.1222,,0.150050022
MK Phone Samsung A04S 4/64 DS v3,95,4899,365,39574,0.1344,,0.1237934
MK Phone Samsung A23 4/128  ST Pilot v2,120,9699,365,53499,0.1075,,0.181293108
MK Phone Samsung A53 6/128 Staff v5,160,10999,365,69399,0.04,,0.158489315
MK +Phone Nokia G21 4/64 CSTR 1 v20 DS,95,2499,390,39549,0.1747,,0.063187438
MK Phone Samsung A03 Core 2/32 v2,50,2499,365,20749,0.1484,,0.120439539
MK +Phone Samsung A10S v2,60,0,400,24000,1.0064,,0
MK Phone Nokia Test v1,1,0,365,365,0.9835,,0
MK +Phone Samsung A10S v4,60,0,400,24000,0.9591,,0
MK Phone Tecno Test v1,1,0,365,365,0.9193,,0
MK Phone Nokia C10 1/32 v1 F&F,40,2999,365,17599,0.8228,,0.17040741
MK Phone Nokia C1 2nd Edition v1 F&F,35,2499,365,15274,0.8013,,0.163611366
MK +Phone Samsung A21 v9,80,2199,420,35799,0.7376,,0.061426297
MK Phone Nokia G21 4/64 HMD v17 HRA,80,5599,365,34799,0.7245,,0.160895428
MK Phone Nokia C20 2/32 Staff v6,45,1499,365,17924,0.677,,0.083630886
MK Phone Samsung A10S v6 DEMO,50,1999,320,17999,0.6611,,0.111061726
MK Phone Nokia C31 4/64 v2 Sailfish F&F,85,3999,365,35024,0.516,,0.114178849
MK Phone Samsung A11 v1,60,4999,365,26899,0.5052,,0.18584334
MK Phone Nokia T20 Tablet 4/64 F&F v1,110,8999,365,49149,0.4998,,0.183096299
MK +Phone Samsung A22 4/64 v9,80,5999,380,36399,0.4526,,0.16481222
MK Phone Samsung A03 Micro Biz v4,30,0,600,18000,0.4312,,0
MK Phone Nokia C21 2/32 F&F v1,50,3799,365,22049,0.4136,,0.172298063
MK +Phone Nokia T20 Tablet 4/64 LDR v2,85,7999,420,43699,0.411,,0.183047667
MK +Phone Samsung A23 4/64 CSTR 2,110,8499,440,56899,0.4039,,0.149369936
MK Phone Nokia C21 2/32 HMD v12 HRA,50,3399,365,21649,0.3867,,0.157004942
MK Phone Nokia X10 6/128 v1 F&F,110,7999,365,48149,0.3714,,0.166130138
MK Phone Samsung A53 6/128 F&F v1,165,12999,365,73224,0.3618,,0.177523763
MK +Phone Nokia T20 Tablet 4/64 HDR v3,95,3999,420,43899,0.346,,0.091095469
MK Phone Samsung A02 2GB/32GB v1,50,3599,365,21849,0.3243,,0.164721498
MK Phone Samsung A03 Core 2/32 v11,50,3299,365,21549,0.297,,0.153092951
MK Phone Nokia G21 4/64 v1 F&F,70,4999,365,30549,0.2967,,0.163638744
MK Phone Nokia G10 3/32 Staff v13,55,2899,365,22974,0.2966,,0.126186123
MK +Phone Samsung A10S v1,60,999,365,22899,0.2962,,0.043626359
MK Phone Nokia C30 2/32 v15 HRA,60,6124,365,28024,0.2906,,0.218526977
MK Phone Samsung A02 2GB/32GB v2,50,3499,365,21749,0.2696,,0.16088096
MK +Phone Samsung A22 4/64 v4,85,5999,365,37024,0.265,,0.162030035
MK Phone Samsung A10S v19,60,4499,365,26399,0.2603,,0.170423122
MK +Phone Samsung A13 4/64  CSTR 2,95,5999,400,43999,0.2569,,0.136344008
MK Phone Nokia 2.4 Saf-Data v1,50,3499,365,21749,0.2486,,0.16088096
