Payment Plan,Cost per Credit,Deposit,Loan Duration,Product Price,Product Price Weighted Llr 200,Quality of Sales,Deposit to Price Ratio
MK +Phone Nokia T20 Tablet 4/64 HDR v7,110,"1,999",450,"51,499",0.345800000,,0.038816288
MK +Phone Nokia G21 4/64 CSTR 1 v3,80,"1,599",400,"33,599",0.182800000,,0.047590702
MK Phone Nokia C31 4/64 v3 HRA,90,"4,099",365,"36,949",0.264900000,,0.110936697
MK Phone Nokia G21 4/64 HMD v20 HRA,95,"4,899",365,"39,574",0.336400000,,0.1237934
MK +Phone Nokia G21 4/64 CSTR 1,85,"1,799",410,"36,649",0.173800000,,0.049087288
MK Phone Nokia C31 4/64 v5 HRA,80,"3,499",365,"32,699",0.232300000,,0.10700633
MK +Phone Samsung A03 Core 2/32 v22 DS,70,"1,499",410,"30,199",0.176100000,,0.049637405
MK Phone Nokia G21 4/64 v18 HRA,95,"4,899",365,"39,574",0.263800000,,0.1237934
MK Phone Samsung A03 Core 2/32 v20 DS,70,"3,499",365,"29,049",0.166500000,,0.120451651
MK Phone Samsung A03 Core 2/32 v17,55,"3,499",365,"23,574",0.130500000,,0.148426232
MK Phone Samsung A13 4/64 v14 HRA,90,"5,599",365,"38,449",0.180700000,,0.145621473
MK +Phone Samsung A04S 4/64 DS v1 GT,80,"3,999",390,"35,199",0.171300000,,0.113611182
MK Phone Samsung A03 3/32 v13,60,"3,999",365,"25,899",0.136100000,,0.154407506
MK Phone Nokia G21 4/64 HMD v20,95,"4,899",365,"39,574",0.251000000,,0.1237934
MK +Phone Nokia C31 4/64 v1 GT,75,"2,999",395,"32,624",0.188600000,,0.091926189
MK Phone Samsung A03 Core 2/32 v24 DS HRA,65,"2,999",365,"26,724",0.172600000,,0.112221224
MK Phone Nokia C31 4/64 v5,80,"3,499",365,"32,699",0.178600000,,0.10700633
MK Phone Nokia G21 4/64 v20,95,"4,899",365,"39,574",0.187200000,,0.1237934
MK +Phone Nokia C31 4/64 v6 DS,85,"1,999",400,"35,999",0.177200000,,0.05552932
MK Phone Samsung A04e 3/64 v1 ST Pilot,70,"4,199",365,"29,749",0.183500000,,0.141147602
MK +Phone Samsung A03 Core 2/32 DS v1 GT,65,"2,499",370,"26,549",0.133200000,,0.094127839
MK Phone Nokia G21 4/64 Insurance Pilot v1,95,"4,899",365,"39,574",0.249700000,,0.1237934
MK +Phone Nokia C31 4/64 v1 CG,80,"1,399",390,"32,599",0.171600000,,0.042915427
MK +Phone Nokia G21 4/64 v3,70,"1,999",365,"27,549",0.107200000,,0.072561617
MK +Phone Nokia G21 4/64 DS v1 CG,90,"1,999",410,"38,899",0.180100000,,0.051389496
MK Phone Samsung A03 Core 2/32 v21 DS HRA,75,"3,499",365,"30,874",0.201000000,,0.113331606
MK Phone Nokia C31 4/64 Insurance Pilot v1,80,"3,499",365,"32,699",0.146000000,,0.10700633
MK +Phone Nokia G21 4/64 DS v1 GT,90,"3,999",390,"39,099",0.262100000,,0.102278831
MK Phone Samsung A03 Core 2/32 v25 DS,65,"2,999",365,"26,724",0.151400000,,0.112221224
MK Phone Samsung A04S 4/64 DS v6 HRA,85,"4,199",365,"35,224",0.129000000,,0.119208494
MK Phone Samsung A03 Core 2/32 Insurance Pilot v1,65,"2,999",365,"26,724",0.188100000,,0.112221224
MK +Phone Samsung A03 Core 2/32 DS v1 CG,65,"1,199",390,"26,549",0.149000000,,0.045161776
MK Phone Samsung A23 4/64 v16 DS HRA,100,"6,999",365,"43,499",0.099800000,,0.160900251
MK Phone Samsung A04S 4/128 ST Pilot v2,100,"5,299",365,"41,799",0.116700000,,0.126773368
MK Phone Samsung A03 Core 2/32 v18 ST Pilot,65,"2,999",365,"26,724",0.182000000,,0.112221224
MK Phone Samsung A04S 4/64 DS v5,85,"4,199",365,"35,224",0.133400000,,0.119208494
MK Phone Samsung A13 4/64 v13,90,"5,599",365,"38,449",0.147700000,,0.145621473
MK +Phone Samsung A03 Core 2/32 v23 DS,70,"1,499",390,"28,799",0.178000000,,0.052050418
MK Phone Samsung A04S 4/64  Insurance Pilot v1,85,"4,199",365,"35,224",0.165500000,,0.119208494
MK Phone Nokia C31 4/64 v4 Demo,55,"2,449",365,"22,524",0.152900000,,0.108728467
MK Phone Nokia C31 4/64 v3 Staff,55,"2,499",365,"22,574",0.122800000,,0.110702578
MK +Phone Samsung A04S 4/64 DS v4 CG,80,"2,299",410,"35,099",0.120400000,,0.065500442
MK +Phone Nokia C31 4/64 v7,85,"1,899",400,"35,899",0.180100000,,0.052898409
MK Phone Samsung A23 4/64 v15 DS,100,"6,999",365,"43,499",0.095800000,,0.160900251
MK +Phone Nokia G21 4/64  CSTR1,90,"2,499",400,"38,499",0.153100000,,0.064910777
