Payment Plan Name,Deposit to Price Ratio,Daily rate,LLR,Deposit,Product Price
MK +Phone Nokia 2.4 v9,0.0159,2400,0.3087,14000,878000
MK +Phone Nokia C01 Plus Iris Red-Con v7,0.0307,2000,0.0034,19000,619000
MK +Phone Nokia 2.4 v10,0.0272,2200,0.2872,24000,882000
MK +Phone Samsung A03 Core 2/32 MTN v3,0.0351,2200,0.0025,24000,684000
MK +Phone Samsung A03 3/32 MTN v7,0.0382,2000,0.1753,29000,759000
MK +Phone Samsung A03 3/32 Red-Con MTN v6,0.0382,2000,0.2136,29000,759000
MK Phone Samsung A01 DSR Demo v5,0.0476,2000,0.0545,30000,630000
MK +Phone Nokia C21 2/32 Red-Con MTN v4,0.0507,2000,0.1896,39000,769000
MK +Phone Nokia C21 2/32 Red-Con V5,0.0484,2100,0.4904,39000,805500
MK +Phone Samsung A02 3/64 v1,0.039,2400,0.4186,39000,999000
MK Phone Nokia 1.4 Demo Red-Con v1,0.0556,2000,0.4038,43000,773000
MK +Phone Nokia 2.4 v8,0.0444,2200,0.1341,44000,990000
MK Phone Samsung A03 Core 2/32 Red-Con MTN v7 Demo,0.0809,1400,0.1549,45000,556000
MK Phone Samsung A02 3/64 Demo MTN v1,0.0608,1900,0.7876,45000,740500
MK +Phone Nokia C21 2/32 Red-Con MTN v16,0.0629,2000,0.1966,49000,779000
MK Phone Samsung A02S 3/32GB Demo v5,0.0629,2000,0.2246,49000,779000
MK +Phone Samsung A03 Core 2/32 MTN v22,0.0601,2100,0.0412,49000,815500
MK +Phone Samsung A03 Core 2/32 Red-Con MTN v21,0.0601,2100,0.1799,49000,815500
MK +Phone Samsung A03 4/64 MTN v5,0.053,2500,0.0317,49000,924000
MK +Phone Samsung A03 4/64 Red-Con MTN v6,0.053,2500,0.2472,49000,924000
MK +Phone Nokia 3.4 4/64 v8,0.0419,2800,0.2221,49000,1169000
MK Phone Samsung A03 Core 2/32 Red-Con MTN Demo v10,0.0776,1600,0.2272,49150,633150
MK +Phone Samsung A10S v11,0.0513,2400,0.2225,50000,974000
MK +Phone Samsung A02s v4,0.0494,2500,0.0029,50000,1012500
MK Phone Samsung A03 3/32 Red-Con MTN v4 Demo,0.0773,1700,0.4579,52000,672500
MK +Phone Nokia C21 2/32 Red-Con v17,0.0658,2100,0.1888,54000,820500
MK +Phone Samsung A02 3/64 v2,0.054,2200,0.2044,54000,1000000
MK +Phone Samsung A02S v7,0.054,2200,0.1697,54000,1000000
MK +Phone Samsung A03 Core 2/32 Red-Con v23,0.063,2200,0.1916,54000,857000
MK Phone Samsung A12 Demo v6,0.0559,2500,0.2374,54000,966500
MK Phone Samsung A02 2/32GB Demo v4,0.067,2100,0.0765,55000,821500
MK +Phone Nokia 2.4 v6,0.0562,2200,0.0773,55000,979000
MK Phone Nokia 2.4 Demo v8,0.0778,1850,0.1172,57000,732250
MK +Phone Nokia C31 4/64 Red-Con MTN v8,0.066,2250,0.1526,58000,879250
MK Phone Nokia C1 Plus Red-Con v8,0.0918,1600,0.2915,59000,643000
MK Phone Nokia C1 Plus v7,0.0918,1600,0.2505,59000,643000
MK Phone Samsung A03 4/64 Red-Con MTN v5 Demo,0.0765,1950,0.022,59000,770750
MK +Phone Nokia C30 2/32 Red-Con v4,0.0643,2600,0.1783,59000,917000
MK +Phone Nokia 3.4 4/64 Red-Con v11,0.0525,2800,0.219,59000,1123000
MK +Phone Samsung A02s v5,0.061,2200,0.2327,60000,984000
MK Phone Nokia C1 2nd Edition MTN F&F v1,0.1467,1020,0.3218,64000,436300
MK Phone Samsung A03s 4/64 Red-Con MTN v8 Demo,0.0738,2200,0.0063,64000,867000
MK +Phone Samsung A03 4/64 MTN v7,0.071,2100,0.2931,69000,972000
MK +Phone Samsung A03 4/64 Red-Con MTN v4,0.071,2100,0.2271,69000,972000
MK +Phone Nokia C21 Plus 3/32 Red-Con MTN v17,0.0759,2300,0.3885,69000,908500
MK Phone Samsung A13 4/64 Red-Con MTN v5 Demo,0.0705,2600,0.0173,72000,1021000
MK Phone Nokia C10 1/32 MTN F&F v1,0.1528,1200,0.8108,79000,517000
MK Phone Nokia C1 Plus Red-Con v9,0.1339,1400,0.2154,79000,590000
MK Phone Samsung A03 MTN v5,0.1129,1700,0.2712,79000,699500
MK +Phone Samsung A03 4/64 MTN v19,0.0768,2600,0.2576,79000,1028000
MK +Phone Samsung A03 4/64 Red-Con MTN v18,0.0768,2600,0.2154,79000,1028000
MK +Phone Samsung A12 MTN v9,0.0644,2800,0.1758,79000,1227000
MK +Phone Samsung A12 Red-Con MTN v11,0.0644,2800,0.1912,79000,1227000
MK +Phone Samsung A12 v5,0.0659,2800,0.169,79000,1199000
MK +Phone Nokia G21 4/64 Red-Con Airtel v23,0.0777,2700,0.1074,83000,1068500
MK Nokia C01 Plus Iris Red-Con MTN v12,0.1456,1350,0.2012,84000,576750
MK Nokia C01 Plus Iris Red-Con MTN v14,0.1456,1350,0.2065,84000,576750
MK +Phone Samsung A03 4/64 Red-Con v20,0.0785,2700,0.2425,84000,1069500
MK Phone Samsung A03 Core 2/32 MTN v3,0.1483,1400,0.1662,89000,600000
MK Phone Samsung A03 Core 2/32 Red-Con MTN v3,0.1483,1400,0.1535,89000,600000
MK Phone Samsung A03 Core 2/32 Red-Con v2,0.1483,1400,0.1613,89000,600000
MK Phone Nokia C01 Plus Iris Red-Con v13,0.1398,1500,0.2565,89000,636500
MK Phone Nokia C01 Plus Iris Red-Con v15,0.1398,1500,0.2404,89000,636500
MK Phone Nokia C01 Plus Iris Red-Con MTN v9,0.1359,1550,0.2223,89000,654750
MK Phone Nokia C01 Plus Iris Red-Con v8,0.1359,1550,0.2456,89000,654750
MK Phone Samsung A03 v3,0.1193,1800,0.2343,89000,746000
MK Phone Nokia 1.4 Red-Con v4,0.1087,2000,0.2346,89000,819000
MK Phone Nokia 1.4 v6,0.1087,2000,0.2693,89000,819000
MK +Phone Samsung A03s 4/64 MTN v24,0.0776,2900,0.0492,89000,1147500
MK Phone Samsung A23 4/64 Red-Con MTN v8 Demo,0.0698,3250,0.0235,89000,1275250
MK +Phone Samsung A04s 4/128 Red-Con MTN v10,0.0737,3100,0.1511,90000,1221500
MK Phone Samsung A03 Core 2/32 Red-Con MTN v8 Staff,0.1616,1350,0.0591,95000,587750
MK Phone Samsung A03 MTN v6,0.1531,1500,0.2322,99000,646500
MK Phone Samsung A03 MTN v7,0.1531,1500,0.2544,99000,646500
MK Phone Nokia C20 2/16 Red-Con MTN v3,0.1489,1550,0.2052,99000,664750
MK Phone Nokia C01 Iris 2/16 F&F v1,0.1449,1600,0.167,99000,683000
MK Phone Nokia C01 Plus Iris Red-Con v5,0.1449,1600,0.2222,99000,683000
MK PhoneNokia C01 Plus Iris MTN v6,0.1449,1600,0.2182,99000,683000
MK Phone Nokia C20 2/16 Red-Con MTN v2,0.131,1800,0.2344,99000,756000
