Payment Plan Name,Deposit to Price Ratio,Daily rate,LLR
1vv9,0.0159,2400,0.3087
2vv7,0.0307,2000,0.0034
3v10,0.0272,2200,0.2872
4vv3,0.0351,2200,0.0025
5vv7,0.0382,2000,0.1753
6vv6,0.0382,2000,0.2136
7vv5,0.0476,2000,0.0545
8vv4,0.0507,2000,0.1896
9vV5,0.0484,2100,0.4904
10vv1,0.039,2400,0.4186
11vv1,0.0556,2000,0.4038
12vv8,0.0444,2200,0.1341
13vmo,0.0809,1400,0.1549
14vv1,0.0608,1900,0.7876
15v16,0.0629,2000,0.1966
16vv5,0.0629,2000,0.2246
17v22,0.0601,2100,0.0412
18v21,0.0601,2100,0.1799
19vv5,0.053,2500,0.0317
20vv6,0.053,2500,0.2472
21vv8,0.0419,2800,0.2221
22v10,0.0776,1600,0.2272
23v11,0.0513,2400,0.2225
24vv4,0.0494,2500,0.0029
25vmo,0.0773,1700,0.4579
26v17,0.0658,2100,0.1888
27vv2,0.054,2200,0.2044
28vv7,0.054,2200,0.1697
29v23,0.063,2200,0.1916
30vv6,0.0559,2500,0.2374
31vv4,0.067,2100,0.0765
32vv6,0.0562,2200,0.0773
33vv8,0.0778,1850,0.1172
34vv8,0.066,2250,0.1526
35vv8,0.0918,1600,0.2915
36vv7,0.0918,1600,0.2505
37vmo,0.0765,1950,0.022
38vv4,0.0643,2600,0.1783
39v11,0.0525,2800,0.219
40vv5,0.061,2200,0.2327
41vv1,0.1467,1020,0.3218
42vmo,0.0738,2200,0.0063
43vv7,0.071,2100,0.2931
44vv4,0.071,2100,0.2271
45v17,0.0759,2300,0.3885
46vmo,0.0705,2600,0.0173
47vv1,0.1528,1200,0.8108
48vv9,0.1339,1400,0.2154
49vv5,0.1129,1700,0.2712
50v19,0.0768,2600,0.2576
51v18,0.0768,2600,0.2154
52vv9,0.0644,2800,0.1758
53v11,0.0644,2800,0.1912
54vv5,0.0659,2800,0.169
55v23,0.0777,2700,0.1074
56v12,0.1456,1350,0.2012
57v14,0.1456,1350,0.2065
58v20,0.0785,2700,0.2425
59vv3,0.1483,1400,0.1662
60vv3,0.1483,1400,0.1535
61vv2,0.1483,1400,0.1613
62v13,0.1398,1500,0.2565
63v15,0.1398,1500,0.2404
64vv9,0.1359,1550,0.2223
65vv8,0.1359,1550,0.2456
66vv3,0.1193,1800,0.2343
67vv4,0.1087,2000,0.2346
68vv6,0.1087,2000,0.2693
69v24,0.0776,2900,0.0492
70vmo,0.0698,3250,0.0235
71v10,0.0737,3100,0.1511
72vff,0.1616,1350,0.0591
73vv6,0.1531,1500,0.2322
74vv7,0.1531,1500,0.2544
75vv3,0.1489,1550,0.2052
76vv1,0.1449,1600,0.167
77vv5,0.1449,1600,0.2222
78vv6,0.1449,1600,0.2182
79vv2,0.131,1800,0.2344
80vv1,0.131,1800,0.2574
81vv1,0.1144,2100,0.5006
82v10,0.0901,2500,0.1077
83vv9,0.0843,2500,0.2423
84vv4,0.1746,2600,0.1045
85vv3,0.1746,2600,0.1647
86vv4,0.0883,2800,0.1127
87vv5,0.0855,2900,0.1634
88vv5,0.0691,3100,0.3465
89vv4,0.0691,3100,0.2076
90vv4,0.1743,1350,0.1259
91vv5,0.1743,1350,0.146
92v16,0.1473,1650,0.225
93vv4,0.1435,1700,0.2436
94v17,0.1494,1700,0.0636
95vv7,0.1423,1800,0.2029
96vv6,0.1423,1800,0.2179
97vv5,0.1723,1500,0.1698
98vv3,0.0847,3200,0.1812
99v&F,0.1627,1650,0.4925
100vff,0.1681,1600,0.0072
101vv6,0.165,1650,0.2186
102vv1,0.1534,1800,0.1945
103vv5,0.1257,2300,0.147
104v14,0.1039,2700,0.2176
105v 1,0.0851,3200,0.2058
106vv4,0.0856,3300,0.1732
107vv1,0.1517,1900,0.3727
108v12,0.1422,2050,0.2702
109vv4,0.1392,2100,0.259
110vv2,0.1338,2200,0.2045
